Unnamed: 0,case,run,VB,time,DOC,feed,material
,1.0,1.0,0.0,2.0,1.5,0.5,1.0
,1.0,2.0,,4.0,1.5,0.5,1.0
,1.0,3.0,,6.0,1.5,0.5,1.0
,1.0,4.0,11.0,7.0,1.5,0.5,1.0
,1.0,5.0,,11.0,1.5,0.5,1.0
,1.0,6.0,20.0,15.0,1.5,0.5,1.0
,1.0,7.0,24.0,19.0,1.5,0.5,1.0
,1.0,8.0,28.999999999999996,22.0,1.5,0.5,1.0
,1.0,9.0,28.000000000000004,26.0,1.5,0.5,1.0
,1.0,10.0,28.999999999999996,29.0,1.5,0.5,1.0
,1.0,11.0,38.0,32.0,1.5,0.5,1.0
,1.0,12.0,40.0,35.0,1.5,0.5,1.0
,1.0,13.0,43.0,38.0,1.5,0.5,1.0
,1.0,14.0,45.0,41.0,1.5,0.5,1.0
,1.0,15.0,50.0,44.0,1.5,0.5,1.0
,1.0,16.0,,46.0,1.5,0.5,1.0
,1.0,17.0,44.0,48.0,1.5,0.5,1.0
,2.0,1.0,8.0,3.0,0.75,0.5,1.0
,2.0,2.0,14.000000000000002,9.0,0.75,0.5,1.0
,2.0,3.0,14.000000000000002,12.0,0.75,0.5,1.0
,2.0,4.0,14.000000000000002,15.0,0.75,0.5,1.0
,2.0,5.0,15.0,22.0,0.75,0.5,1.0
,2.0,6.0,,24.0,0.75,0.5,1.0
,2.0,7.0,18.0,27.0,0.75,0.5,1.0
,2.0,8.0,22.0,33.0,0.75,0.5,1.0
,2.0,9.0,26.0,39.0,0.75,0.5,1.0
,2.0,10.0,31.0,45.0,0.75,0.5,1.0
,2.0,11.0,38.0,51.0,0.75,0.5,1.0
,2.0,12.0,43.0,59.0,0.75,0.5,1.0
,2.0,13.0,48.0,66.0,0.75,0.5,1.0
,2.0,14.0,55.00000000000001,72.0,0.75,0.5,1.0
,3.0,1.0,0.0,0.0,0.75,0.25,1.0
,3.0,2.0,13.0,3.0,0.75,0.25,1.0
,3.0,3.0,13.0,9.0,0.75,0.25,1.0
,3.0,5.0,17.0,21.0,0.75,0.25,1.0
,3.0,6.0,19.0,27.0,0.75,0.25,1.0
,3.0,7.0,20.0,33.0,0.75,0.25,1.0
,3.0,8.0,23.0,39.0,0.75,0.25,1.0
,3.0,9.0,23.0,45.0,0.75,0.25,1.0
,3.0,10.0,26.0,51.0,0.75,0.25,1.0
,3.0,11.0,28.000000000000004,57.0,0.75,0.25,1.0
,3.0,12.0,33.0,63.0,0.75,0.25,1.0
,3.0,14.0,36.0,69.0,0.75,0.25,1.0
,3.0,15.0,44.0,75.0,0.75,0.25,1.0
,3.0,16.0,55.00000000000001,81.0,0.75,0.25,1.0
,4.0,1.0,8.0,3.0,1.5,0.25,1.0
,4.0,2.0,13.0,9.0,1.5,0.25,1.0
